Name,Description,Image URL
Astragalus - Huang Qi (Astragalus membranaceus) - 25 Seeds,"Astragalus (Huang Qi) (Astragalus membranaceus) - 25 Seeds

• Heirloom
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 4-9

When it comes to potent medicinal herbs, Astragalus (Astragalus membranaceus), also known as Huang Qi, is at the top of the list. Hailing from traditional Chinese medicine, this powerhouse perennial herb is a revered adaptogen. Aside from its health-boosting properties, it's also a delight to grow, with pretty yellow flowers that will brighten up your garden. It's health and beauty all in one package!

GROWING INSTRUCTIONS:
For fall sowing, no stratification needed. For spring planting, a 21 day cold stratification is needed to break the seeds' dormancy. Astragalus seeds should be planted in well-draining soil with full sun exposure. Sow seeds 1/4 inch deep and space plants 12-18 inches apart, with rows 2-3 feet apart. Astragalus prefers soil with a pH between 6.0 and 7.5. Keep the soil consistently moist but not waterlogged. Cold stratification is not required for this species.",//southernseeds.com/cdn/shop/products/shopify_9d04a3cc-9ecf-42bb-9ee5-5fd7c259b5c7_180x.png?v=1633736268 180w
Basil Seed Collection - 6 Varieties,"Welcome, passionate gardeners! Do you love growing herbs in your backyard? Then our Basil Seed Collection is for you! With 6 individual packets of some of the most popular basil varieties from around the world, this collection has something for every basil-lover. Cultivate a variety of sweet flavors with Thai basil, Lemon basil, Cinnamon basil, Genovese basil, Dark Opal basil and Holy basil.

You can also fully customize the collection for your gardening needs. Want to substitute 2 of the basils for rosemary and chamomile... no problem. Just put your substitutions in the “Add a note to your order” section in the shopping cart and we'll handle the rest.



COLLECTION INCLUDES:

Genovese Sweet Basil (250 Seeds): Meet the star of Italian cuisine! Sweet Basil, also known as Genovese basil, has large, tender leaves and a delightful, sweet aroma. It's perfect for whipping up a mouth-watering pesto.

•Thai Basil (250 Seeds): With a distinctive anise-clove flavor, Thai Basil is the go-to herb for Southeast Asian dishes, particularly in Thai cooking. Its small, narrow leaves and purple stems make it as beautiful as it is tasty.

•Dark Opal Basil (250 Seeds): Looking for a touch of color? This purple is a showstopper with its deep purple leaves and milder flavor. Add it to your dishes for a stunning color contrast.

•Lemon Basil (250 Seeds): Bring some zest to your cooking! Lemon Basil has a refreshing citrus aroma and flavor, making it a fantastic addition to fish, poultry, veggies, dressings, and marinades.

•Holy Basil (100 Seeds): Sacred in Hinduism and essential in Ayurvedic medicine, Holy Basil, or Tulsi, has a slightly spicy, clove-like flavor. It's a wonderful choice for infusing some warmth into Indian dishes.

•Cinnamon Basil (250 Seeds): Spice things up with Cinnamon Basil! Its warm, spicy flavor with a hint of cinnamon is perfect for adding a unique twist to your culinary creations. The reddish-purple hue on its stems and leaves is an added bonus.


Get ready to stock up on delicious flavors and enjoy gardening with the Basil Seed Collection!
",//southernseeds.com/cdn/shop/files/SHOPIFYCOLLECTIONTEMPLATE_16_180x.png?v=1688860732 180w
"Basil, Anise (Ocimum basilicum) - 250 Seeds","Basil, Anise (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Anise Basil, a unique variety of basil growing to 18-24 inches tall, is prized for its distinct anise or licorice-like flavor and fragrance. Its medium-sized, bright green leaves and purple stems add a touch of beauty to your herb garden, while its culinary versatility makes it a favorite among chefs and home cooks alike.  Anise Basil is perfect for flavoring fish, chicken, or salads, and it also pairs beautifully with fruits and desserts.

GROWING INSTRUCTIONS:
In the spring, direct sow once the soil has warmed to about 70 degrees F. In order for the seed to germinate, which typically takes 10 to 15 days, press it firmly onto the soil's surface. Light is necessary for the seed to sprout. If you want to start indoors, plant the seed in flats 4–6 weeks before the last frost, maintain the soil just moist enough for germination, and move the seedlings outside as soon as the weather permits. Rich, light soils are ideal for this plant's growth; sow a fresh crop every three to four weeks for continual bloom.
",//southernseeds.com/cdn/shop/products/basil-anise-ocimum-basilicum-250-seeds-501019_180x.jpg?v=1663210011 180w
"Basil, Blue Spice (Ocimum basilicum) - 100 Seeds","Basil, Blue Spice (Ocimum basilicum) - 100 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Blue Spice Basil, growing to 12-18 inches tall, is an absolute delight for the senses! This unique basil variety offers a complex fragrance, with notes of vanilla, spice, and lemon, making it a newly crowned favorite among chefs and gardeners alike. Its purple flowers and dark green leaves add a touch of beauty to your herb garden, while its unique flavor profile elevates any dish. Try it in fruit salads, savory dishes, or even as a garnish for cocktails.

GROWING INSTRUCTIONS:
In the spring, direct sow once the soil has warmed to about 70 degrees F. In order for the seed to germinate, which typically takes 10 to 15 days, press it firmly onto the soil's surface. Light is necessary for the seed to sprout. If you want to start indoors, plant the seed in flats 4–6 weeks before the last frost, maintain the soil just moist enough for germination, and move the seedlings outside as soon as the weather permits. Rich, light soils are ideal for this plant's growth; sow a fresh crop every three to four weeks for continual bloom.
",//southernseeds.com/cdn/shop/files/shopify-2023-08-21T162538.534_180x.png?v=1692653260 180w
"Basil, Cinnamon (Ocimum basilicum) - 250 Seeds","Basil, Cinnamon (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: 2-11

Get ready to spice up your herb garden with our Cinnamon Basil. This heirloom herb, growing 12-24 inches tall, isn't your everyday basil. It boasts a delightful hint of cinnamon that adds a unique twist to your favorite recipes. Whether you're jazzing up a salad, a pesto, or steeping a relaxing tea, this versatile herb is just what you need. Its beautiful purple flowers and aromatic leaves will also add a touch of beauty to your garden.

GROWING INSTRUCTIONS:
In the spring, direct sow once the soil has warmed to about 70 degrees F. In order for the seed to germinate, which typically takes 10 to 15 days, press it firmly onto the soil's surface. Light is necessary for the seed to sprout. If you want to start indoors, plant the seed in flats 4–6 weeks before the last frost, maintain the soil just moist enough for germination, and move the seedlings outside as soon as the weather permits. Rich, light soils are ideal for this plant's growth; sow a fresh crop every three to four weeks for continual bloom.
",//southernseeds.com/cdn/shop/products/basil-cinnamon-ocimum-basilicum-cinnamon-250-seeds-302442_180x.jpg?v=1663209943 180w
"Basil, Corsican (Ocimum basilicum) - 250 Seeds","Basil, Corsican (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Corsican Basil, growing to 12-18 inches tall, is an eye-catching and flavorful heirloom variety, distinguished by its variegated leaves of green and purple. Its unique appearance makes it a delightful addition to any herb garden or container. With a flavor profile reminiscent of sweet basil but with a subtle hint of spice, Corsican Basil is a versatile herb that can be used fresh or dried to elevate a variety of dishes.

GROWING INSTRUCTIONS:
In the spring, direct sow once the soil has warmed to about 70 degrees F. In order for the seed to germinate, which typically takes 10 to 15 days, press it firmly onto the soil's surface. Light is necessary for the seed to sprout. If you want to start indoors, plant the seed in flats 4–6 weeks before the last frost, maintain the soil just moist enough for germination, and move the seedlings outside as soon as the weather permits. Rich, light soils are ideal for this plant's growth; sow a fresh crop every three to four weeks for continual bloom.
",//southernseeds.com/cdn/shop/products/basil-corsican-ocimum-basilicum-250-seeds-590205_180x.jpg?v=1663209943 180w
"Basil, Dark Opal (Ocimum basilicum) - 250 Seeds","Basil, Dark Opal (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Dark Opal Basil, growing to 12-18 inches tall, is a showstopper with its deep purple leaves and a delightful clove-like flavor. This heirloom variety is not just a feast for the eyes but also for the tastebuds, adding a rich, peppery punch to salads, pasta dishes, and even cocktails. Its vibrant color makes it a beautiful addition to any herb garden or container, and its culinary versatility makes it a must-have for any kitchen.

GROWING INSTRUCTIONS:
Dark Opal Sweet Basil (Ocimum basilicum) is the answer to all of your culinary needs. Not only does it have a unique clove-like spiciness that sets it apart from other basils, but it also offers an unparalleled visual appeal with its large, glossy purple leaves. Gardeners have been utilizing this old time favorite for decades due to its versatility and flavor. Use Dark Opal Sweet Basil in salads, pestos, vinegars, oils and more! For a fun contrast of color and flavor pair this basil with large sliced tomatoes – people have been doing so since the turn of the last century. With this herb variety in your garden, you can be sure that all of your dishes will impress!",//southernseeds.com/cdn/shop/products/basil-dark-opal-ocimum-basilicum-dark-opal-250-seeds-694180_180x.jpg?v=1663209954 180w
"Basil, Dwarf Greek (Ocimum basilicum) - 250 Seeds","Basil, Dwarf Greek (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Basil, Dwarf Greek is a compact and flavorful heirloom variety, growing to just 6-10 inches tall, making it perfect for small gardens, containers, or even windowsill herb gardens.  Don't let its petite size fool you though, this basil packs a punch with its intensely aromatic, slightly spicy flavor that's a staple in Mediterranean cuisine. Imagine tossing freshly picked leaves into your Greek salad or pasta – yum!

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 6-8 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-dwarf-greek-ocimum-basilicum-250-seeds-337253_180x.jpg?v=1720895535 180w
"Basil, Genovese (Ocimum basilicum) - 250 Seeds","Basil, Genovese (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Say hello to Basil, Genovese – a culinary rockstar! This Italian variety, growing to 12-24 inches tall, boasts large, tender leaves filled with that sweet, aromatic basil flavor we all love. It's the classic choice for pesto, but it doesn't stop there. Salads, pasta, pizza, marinades, and tomato dishes – it enhances them all. With its robust growth and plentiful leaves, you'll have plenty to share with friends and family (or keep all to yourself...we won't judge!).

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 12-18 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-genovese-ocimum-basilicum-genovese-250-seeds-790622_180x.jpg?v=1663209953 180w
"Basil, Holy Kapoor Tulsi (Ocimum sanctum) - 100 Seeds","Basil, Holy Kapoor Tulsi (Ocimum sanctum) - 100 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Tender Perennial (Usually Grown as an Annual)
• USDA Zone: All Zones

Holy Basil, also known as Tulsi, is a sacred herb in Ayurveda, the traditional medicine of India. This variety, Kapoor Tulsi, grows to about 12-24 inches tall and is cherished for its aromatic leaves and purple flowers. It's also the best option for temperate locations. Its slightly sweet and spicy flavor, with hints of clove and pepper, makes it a delightful addition to teas, herbal infusions, and various culinary dishes.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 12-18 inches apart in full sun. Holy Basil prefers well-draining soil and regular watering. In warmer climates (zones 10-12), it can be grown as a perennial.",//southernseeds.com/cdn/shop/products/basil-holy-kapoor-tulsi-ocimum-sanctum-100-seeds-302304_180x.jpg?v=1663210013 180w
"Basil, Italian Large Leaf (Ocimum basilicum) - 250 Seeeds","Basil, Italian Large Leaf (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Italian Large Leaf Basil, also known as Genovese Basil, is a culinary classic that grows up to 24 inches tall. Its large, tender leaves burst with a sweet, aromatic flavor that's perfect for creating authentic pesto, flavoring fresh salads and tomato dishes, or adding a fragrant touch to any Italian-inspired recipe. This vigorous grower will provide you with an abundance of leaves throughout the growing season, making it a must-have for any herb garden.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 12-18 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-italian-large-leaf-ocimum-basilicum-250-seeeds-273255_180x.jpg?v=1680596946 180w
"Basil, Lemon (Ocimum basilicum Citriodorum) - 250 Seeds","Basil, Lemon (Ocimum basilicum Citriodorum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Lemon Basil, growing to 12-18 inches tall, is one of the most sought-after basil varieties on the market today. This refreshing twist on the classic herb offers a delightful citrusy aroma and flavor. Its bright green leaves have a zesty lemon scent and a slightly sweet, peppery taste, making them a perfect addition to salads, seafood dishes, and even desserts. This unique basil variety is sure to brighten up your herb garden and add a burst of sunshine to your culinary creations.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 8-12 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-lemon-ocimum-basilicum-citriodorum-250-seeds-983585_180x.jpg?v=1663210014 180w
"Basil, Licorice (Ocimum basilicum) - 250 Seeds","Basil, Licorice (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Licorice Basil, growing to 12-18 inches tall, is a unique and flavorful heirloom variety with a distinct anise or licorice-like flavor and fragrance. Its beautiful green leaves and stems add a touch of beauty to your herb garden, while its culinary versatility makes it a favorite among chefs and home cooks alike.  Licorice Basil is perfect for adding a touch of sweetness to teas and desserts, or a hint of licorice flavor to savory dishes.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 8-12 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-licorice-ocimum-basilicum-250-seeds-418132_180x.jpg?v=1663210012 180w
"Basil, Lime (Ocimum basilicum) - 250 Seeds","Basil, Lime (Ocimum basilicum) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Lime Basil, growing to 12-18 inches tall, is a refreshing twist on the classic herb, offering a delightful citrusy aroma and flavor. Its bright green leaves have a zesty lime scent and a slightly sweet, peppery taste, making them a perfect addition to salads, seafood dishes, and even desserts. This unique basil variety is sure to brighten up your herb garden and add a burst of sunshine to your culinary creations.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors, spacing them 8-12 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-lime-ocimum-basilicum-250-seeds-209076_180x.jpg?v=1663210013 180w
"Basil, Piccolino (Ocimum spp.) - 20 Seeds","Basil, Piccolino (Ocimum basilicum) - 20 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Basil 'Piccolino' is a tiny but mighty variety, growing only 6-8 inches tall. This compact heirloom basil is perfect for those with limited space, as it thrives in small pots, window boxes, or even tucked into a corner of your garden bed. Don't let its size fool you though, this little powerhouse packs a punch of flavor with its small, spicy leaves. It's perfect for adding a fresh touch to salads, pizzas, or pasta dishes.

GROWING INSTRUCTIONS:
Start seeds indoors 6-8 weeks before the last frost. Sow seeds on the surface of the soil and lightly press them in, as they need light to germinate. Keep the soil moist but not soggy and provide them with plenty of bright, indirect light. After the last frost, transplant seedlings outdoors or into larger containers, spacing them 6-8 inches apart in full sun. Basil prefers well-draining soil and regular watering.",//southernseeds.com/cdn/shop/products/basil-piccolino-ocimum-spp-20-seeds-447977_180x.jpg?v=1663210013 180w
